	ID	Source	Image	Title	Description	Price	Special Price	Venue	Address	Phone	Category	Length	Type	Time Available	Weekly	Tags	Author Initials		Bundles	Tags	Type	#NAME?
	1	https://www.tripadvisor.com/Attraction_Review-g55711-d3701546-Reviews-Segway_Nation_Dallas-Dallas_Texas.html	http://www.dallassegwaytours.com/images/TourAds/Dealey-Plaza-Then-and-Now.jpg	Dallas Segway Tour	Experience dallas in a unique way on a segway tour	$40.00		Segway Nation Dallas	900 Jackson St, Suite B180, Dallas, TX 75202-4404	972-821-9054	Other	2:00	Experience	9:00am - 6:00pm	M,Tu, Wed, Thur, Fri	Tourist, Outside	JAM		Restaurants	View	Experience	50
	2	http://www.reuniontower.com/	http://www.huntrealty.com/img/investment/reunion-tower-361x370.jpg	Dinner the Iconic Reunion Tower	The skyline’s 560-foot landmark with the distinctive glowing ball houses the master chef’s first fine dining restaurant in the city.	$50.00		Five Sixty 	300 Reunion Boulevard	214-571-5784	Restaurants	1:00	Experience	5:00pm - 11:00pm	M, Tu, Wed, Thur, Fri, Sat, Sun	View	JAM		Bars	Pet Friendly	Event	132
	3	http://www.dallasobserver.com/event/michelangelos-sistine-chapel-the-exhibition-8867256	http://images1.dallasobserver.com/imager/u/original/8867255/sistinechapellogo.jpg	Michaelangelo's Sistine Chapel Exhibit	Michelangelo’s renowned ceiling frescoes from the Vatican’s Sistine Chapel, reproduced photographically and artfully displayed in their original size	$20.00		The Woman's Museum	3800 Parry Ave. Dallas, TX 75226	202-293-4505	Museums	1:30		10:00am - 6:00pm	Tu, Wed, Thur, Fri, Sat, Sun	Art	JAM		Cafes	Outside		132
	4	https://www.yelp.com/biz/equinox-preston-hollow-dallas?osq=Best+Gym	https://www.yelp.com/biz_photos/equinox-preston-hollow-dallas?select=Aei8VlZYD5_-5haIb4NWLA	Equinox Preston Hollow	Equinox Fitness Club has created an unparalleled experience that engages members in fitness and wellbeing, delivering transformative results.	$167.00		Equinox Fitness Club	8611 Hillcrest Rd, Dallas, TX 75225	(214) 265-5512	Gyms	1:00		5:00am-10pm Monday-Thursday, Friday- 5:00am-9:00pm, Saturday/Sunday 7:00am- 8:00pm	M, Tu, Wed, Thur, Fri, Sat, Sun	Gym	KTK		Nightclubs	Dating		141
	5	http://www.reuniontower.com/explore.html#geodeck	http://cstx.thecooleststuffi.netdna-cdn.com/wp-content/uploads/2015/07/sunset-over-downtown-dallas.jpg	GeO-Deck at Reunion Tower	Experience the beautiful Dallas skyline from the top of Reunion Tower with a 360° view and explore with interactive touchscreens, cameras, and more.	$21.00		Reunion Tower 	300 Reunion Boulevard East, Dallas, TX 75207	214-712-7040	Other	1:00		10:30am-8:30pm Sunday-Thursday, 10:30am-9:30pm Friday-Saturday	M, Tu, Wed, Thur, Fri, Sat, Sun	Tourist, View	CRW		Stores	Cocktails		148
	6	http://www.texastruckyard.com	http://s3-media1.fl.yelpcdn.com/bphoto/ECp6ZcpKzaHX2gBw_FKV6g/348s.jpg	Tree House Bar	Relax and kick back in this unique "junkyard" bar, supplemented by a rotating menu of the best food trucks in the Dallas area.	$20.00		Texas Truck Yard Dallas	5624 Sears St. Dallas, TX 75206 	469-500-0139	Restaurants	2:00		11:00am-12:00am	M, Tu, Wed, Thur, Fri, Sat, Sun	Bar, Patio, Outside, Beer	AHB		Marketplaces	Quick bite		126
	7	http://cedargrove-dallas.com	http://nlgroup-dallas.com/wp-content/uploads/2016/07/CEDAR-GROVE-02.jpg	Communal Gastropub at Cedar Grove	Cedar Grove invites patrons to dine together in its upscale, modern space featuring small plates accompanied by wonderfully inspired craft cocktails.	$38.00		Cedar Grove	ilume, 4123 Cedar Springs Rd #110, Dallas, TX 75219	(214) 522-3474	Restaurants	1:00		4:00pm-10:00pm Tuesday-Thursday, 11:00am-2:00pm 4:00pm-11:00pm Friday, Saturday 10:00am-3:00pm 4:00pm-11:-00pm, Sunday 10:00am-3:00pm 4:00pm-10:00pm	Tu, Wed, Thur, Fri, Sat, Sun	Restaurant, Bar, Patio, Cocktails	AHB		Concerts	Tourist		149
	8	http://www.thecedarssocial.com/index.php	https://media-cdn.tripadvisor.com/media/photo-s/03/30/4a/6b/the-cedars-social.jpg	Deep Ellum Nightlife at Cedars Social	70s inspired bar and restaurant with an extensive small-plates and cocktail menu. Enjoy the patio's ambience surrounded by fire pits and good friends.	$45.00		The Cedars Social	1326 South Lamar St. Dallas, TX 75215	214-928-7700	Restaurants	1:00		4:00pm-2:00am Monday-Friday, 11:00am-2:00am Saturday/Sunday	M, Tu, Wed, Thur, Fri, Sat, Sun	Restaurant, Outside, Cocktails, Nightlife	AHB		Sports	Healthy 		150
	9	http://www.nylohotels.com/dallas	http://www.azteca-omega.com/images/portfolio/hospitality/nylo/NYLO-002.jpg	NYLO Hotel in South Side Dallas	The NYLO offers an experince like no other with its artisitc and modern touch on its loby, rooms, and rooftop pool and bar.	     $140.00-$170.00		NYLO Dallas South Side	1325 South Lamar St. Dallas, TX 75215	214-421-1080	Hotels	1-3 Days			M, Tu, Wed, Thur, Fri, Sat, Sun	View, Tourist, Pet Friendly 	CRW		Museums	Nightlife		123
	10	http://www.hotellumen.com/hotels-dallas/boutique-hotel.html	https://d172vyvma702ee.cloudfront.net/system/uploads/image/asset/1778/Lumen_Gallery01.jpg?v=1401728890	The Lumen Hotel in Highland Park	This boutique hotel offers a lovely pool, rooftop, and bar that will have you wanting to come back and visit.	$190		The Lumen	6101 Hillcrest Ave, Dallas, TX 75205	214-219-2400	Hotels	1-3 Days			M, Tu, Wed, Thur, Fri, Sat, Sun	Tourist, Pet Friendly	CRW		Gyms	Art		109
